,SampleID,Field,CropID,SampleDate,AnalysisDate,Parameter,DataType,WS_Current,WS_Ideal,WS_Needed,Mehlich_Current,Mehlich_Ideal,Mehlich_Needed,Current,Ideal,Needed
0,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Calcium,Nutrient,58.67,40.0,-18.67,2419.96,3345.6,925.64,,,
1,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Magnesium,Nutrient,30.34,7.0,-23.34,1193.78,354.24,-839.54,,,
2,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Potassium,Nutrient,16.23,13.0,-3.23,255.07,335.79,80.72,,,
3,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Sodium,Nutrient,55.83,10.0,-45.83,150.83,56.58,-94.25,,,
4,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Phosphorus,Nutrient,1.95,0.8,-1.15,9.51,335.79,326.28,,,
5,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Sulfur,Nutrient,26.16,2.0,-24.16,18.51,167.9,149.39,,,
6,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Chloride,Nutrient,82.62,20.0,-62.62,82.62,,,,,
7,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Silicon,Nutrient,14.95,20.0,5.05,315.98,134.32,-181.66,,,
8,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Iodine,Nutrient,1.86,5.0,3.14,1.86,,,,,
9,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Boron,Nutrient,3.65,0.75,-2.9,2.24,3.35,1.11,,,
10,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Molybdenum,Nutrient,0.32,0.5,0.18,0.25,1.25,1.0,,,
11,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Selenium,Nutrient,1.59,0.5,-1.09,1.11,6.72,5.61,,,
12,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Aluminum,Nutrient,0.0,1.0,1.0,301.91,119.64,-182.27,,,
13,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Iron,Nutrient,2.11,0.75,-1.36,59.82,111.93,52.11,,,
14,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Manganese,Nutrient,0.17,0.07,-0.1,70.43,55.97,-14.47,,,
15,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Zinc,Nutrient,0.09,0.06,-0.03,4.71,33.58,28.87,,,
16,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Copper,Nutrient,0.18,0.04,-0.14,3.58,13.43,9.85,,,
17,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Cobalt,Nutrient,0.0,0.03,0.03,1.93,6.72,4.79,,,
18,102924-sp-936,kf,11672,2024-10-07,2024-10-29,pH (1:1),Water Soluble,,,,,,,6.96,6.2,-0.76
19,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Soluble Salts,Water Soluble,,,,,,,0.36,0.64,0.28
20,102924-sp-936,kf,11672,2024-10-07,2024-10-29,EC,Water Soluble,,,,,,,0.57,0.7,0.13
21,102924-sp-936,kf,11672,2024-10-07,2024-10-29,ORP,Water Soluble,,,,,,,17.0,80.0,63.0
22,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Organic Matter,Water Soluble,,,,,,,5.56,7.0,1.44
23,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Active Carbon,Water Soluble,,,,,,,115.21,1000.0,884.79
24,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Bicarbonates,Water Soluble,,,,,,,196.25,60.0,-136.25
25,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Est N from OM in lb,Water Soluble,,,,,,,102.8,120.0,17.2
26,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Nitrate,Water Soluble,,,,,,,103.88,30.0,-73.88
27,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Ammonium,Water Soluble,,,,,,,0.36,40.0,39.64
28,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Ca %,Saturation,,,,,,,49.0,68.0,12.1
29,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Mg %,Saturation,,,,,,,40.0,12.0,9.95
30,102924-sp-936,kf,11672,2024-10-07,2024-10-29,K %,Saturation,,,,,,,3.0,3.5,0.65
31,102924-sp-936,kf,11672,2024-10-07,2024-10-29,Na %,Saturation,,,,,,,3.0,1.0,0.66
